,Text,Date,Sentiment,Tok_text
364,"HDFC Q3 net profit rises 13% to Rs 3,691 crore, impairments decline",2023-02-02 00:00:00,1,hdfc net profit rises rs crore impairments decline
365,HDFC Life hits lowest level since May 2020; slumps 17% in two days,2023-02-02 00:00:00,-1,hdfc life hits lowest level slumps days
366,Sterling Tools hits 4-year high on strong Q3 results; surges 40% in 1 month,2023-02-02 00:00:00,1,sterling tools hits year high strong results surges month
367,"HDFC Q3 profit jumps 13% YoY to Rs 3,691 crore, AUM grows 13% to Rs 7 trn",2023-02-02 00:00:00,1,hdfc profit jumps yoy rs crore aum grows rs trn
368,Ashok Leyand shares climb 5% after firm reports jump in Q3 profits,2023-02-02 00:00:00,1,ashok leyand shares climb firm reports jump profits
369,Britannia soars 5% to hit record high on strong Q3 operational performance,2023-02-02 00:00:00,1,britannia soars hit record high strong operational performance
370,"LIC, HDFC Life, SBI Life: Budget 2023 proposals dismantle bullish trends",2023-02-02 00:00:00,0,lic hdfc life sbi life budget proposals dismantle bullish trends
371,ITC jumps 6% to scale new lifetime high ahead of Q3FY23 results,2023-02-02 00:00:00,1,itc jumps scale new lifetime high ahead fy results
372,"IndiGo Q3 preview: Airline to turn profitable amid healthy traffic, low ATF",2023-02-02 00:00:00,1,indigo preview airline turn profitable amid healthy traffic low atf
373,"Jubilant Food dips 13% in 2 days, hits lowest level since Dec'20 on weak Q3",2023-02-02 00:00:00,-1,jubilant food dips days hits lowest level dec weak 
374,Bank of Baroda Q3: What to expect from the lender's Dec quarter result?,2023-02-02 00:00:00,0,bank baroda expect lender dec quarter result 
375,SBI Q3 profit may rise nearly 60% YoY; deposit growth could outrun peers,2023-02-02 00:00:00,1,sbi profit rise nearly yoy deposit growth outrun peers
376,Rs 8.7 trn mcap loss for Adani cos in 6 days; Adani Ent tanks 35% since Tue,2023-02-02 00:00:00,-1,rs trn mcap loss adani cos days adani ent tanks tue
377,"Capex push, tax rationalisation: Brokerages give a thumbs-up to Budget 2023",2023-02-02 00:00:00,1,capex push tax rationalisation brokerages thumbs budget 
378,"Sensex ends 224 pts higher in uneven trade, Nifty flat; Adani Ent skids 27%",2023-02-02 00:00:00,1,sensex ends pts higher uneven trade nifty flat adani ent skids 
379,"Stocks to Watch: Adani Ent, Adani Green, HDFC, Maruti Suzuki, Insurance",2023-02-02 00:00:00,1,stocks watch adani ent adani green hdfc maruti suzuki insurance
380,On a day of 'no negative surprises': Adani stock rout spoils party,2023-02-01 00:00:00,0,day negative surprises adani stock rout spoils party
381,"Budget ends tax advantage in MLDs, move to impact wealthy investors",2023-02-01 00:00:00,1,budget ends tax advantage mlds impact wealthy investors
382,Budget 2023 a balancing act with focus on prosperity and inclusiveness,2023-02-01 00:00:00,0,budget balancing act focus prosperity inclusiveness
383,Bond yield hits 6-week low as Budget sticks to path of fiscal consolidation,2023-02-01 00:00:00,-1,bond yield hits week low budget sticks path fiscal consolidation
384,Life insurance stocks tumble as govt proposes to tax high premium policies,2023-02-01 00:00:00,-1,life insurance stocks tumble govt proposes tax high premium policies
385,"OFCD case: Sebi orders attachment of Subrata Roy's bank, demat accounts",2023-02-01 00:00:00,-1,ofcd case sebi orders attachment subrata roy bank demat accounts
386,Rupee falls by 2 paise to close at 81.90 against US dollar on Budget day,2023-02-01 00:00:00,-1,rupee falls paise close dollar budget day
387,Rout in Adani Group stocks triggers panic sell-off in PSU banks,2023-02-01 00:00:00,-1,rout adani group stocks triggers panic sell psu banks
388,Aquaculture stocks soar after govt slashes customs duty on shrimp feed,2023-02-01 00:00:00,-1,aquaculture stocks soar govt slashes customs duty shrimp feed
389,Budget 2023 ticks all checkboxes; Adani group stocks played spoilsport,2023-02-01 00:00:00,0,budget ticks checkboxes adani group stocks played spoilsport
390,Budget 2023 proposals will put India firmly back on the FII's radar,2023-02-01 00:00:00,0,budget proposals india firmly fii radar
391,"Tax sops, Capex push, Adani rout: Why Sensex swayed 2,000pts on Budget day?",2023-02-01 00:00:00,0,tax sops capex push adani rout sensex swayed pts budget day 
392,"ITC, NTC Ind: Strategies for Cigarette-related stocks after duty hike",2023-02-01 00:00:00,1,itc ntc ind strategies cigarette related stocks duty hike
393,"Budget 2023 delivers on all counts; pushes hard on capex, growth",2023-02-01 00:00:00,0,budget delivers counts pushes hard capex growth
394,"ITC hits life-time high, bounces back 11% from day's low on heavy volumes",2023-02-01 00:00:00,1,itc hits life time high bounces day low heavy volumes
395,Budget delivers a big boost for consumption-related stocks: Analysts,2023-02-01 00:00:00,1,budget delivers big boost consumption related stocks analysts
396,"L&T, Siemens surge up to 5% as govt proposes 33% jump in capex outlay",2023-02-01 00:00:00,1,l siemens surge govt proposes jump capex outlay
397,Indian Hotels soars 7% on heavy volumes backed by strong Q3 show,2023-02-01 00:00:00,-1,indian hotels soars heavy volumes backed strong 
398,Markets 'overpricing' banks' risk from Adani exposure: Societe Generale,2023-02-01 00:00:00,-1,markets overpricing banks risk adani exposure societe generale
399,Adani group shares extend fall; Adani Total Gas tanks 51% in five days,2023-02-01 00:00:00,-1,adani group shares extend fall adani total gas tanks days
400,"Apar Industries zooms 42% in two days, hits record high on robust earnings",2023-02-01 00:00:00,1,apar industries zooms days hits record high robust earnings
401,"Sensex ends 158 pts up on Budget day after 2000 pts-swing, Nifty near 17600",2023-02-01 00:00:00,1,sensex ends pts budget day pts swing nifty near 
402,Adani group stock rout takes India out of top-five on market capitalisation,2023-01-31 00:00:00,-1,adani group stock rout takes india market capitalisation
403,"Sebi penalises PVR Murthy in GDR manipulation of Birla Cotsyn, Zenith Birla",2023-01-31 00:00:00,-1,sebi penalises pvr murthy gdr manipulation birla cotsyn zenith birla
404,Hindenburg report: Sebi discusses Adani firms with ratings agencies,2023-01-31 00:00:00,-1,hindenburg report sebi discusses adani firms ratings agencies
405,"Mixed day for Adani group stocks, market capitalisation unchanged",2023-01-31 00:00:00,0,mixed day adani group stocks market capitalisation unchanged
406,Sebi penalises 15 entities for manipulating BFL Asset Finvest stock prices,2023-01-31 00:00:00,-1,sebi penalises entities manipulating bfl asset finvest stock prices
407,Winter chill grips domestic indices unlike Asian peers; Nifty50 falls most,2023-01-31 00:00:00,-1,winter chill grips domestic indices unlike asian peers nifty falls 
408,"Adani Enterprises' Rs 20,000-crore FPO sails through Hindenburg storm",2023-01-31 00:00:00,-1,adani enterprises rs crore fpo sails hindenburg storm
409,"Laurus Labs slips 5%, hits over 2-year low post December quarter results",2023-01-31 00:00:00,-1,laurus labs slips hits year low post december quarter results
410,"Auto shares in focus ahead of January sales; M&M up 2%, nears record high",2023-01-31 00:00:00,1,auto shares focus ahead january sales m nears record high
411,Adani Enterprises FPO: Issue fully subscribed on the last day with NII push,2023-01-31 00:00:00,-1,adani enterprises fpo issue fully subscribed day nii push
412,Surya Roshni extends rally on strong Q3 earnings; stock surges 30% in Jan,2023-01-31 00:00:00,1,surya roshni extends rally strong earnings stock surges jan
413,Britannia's Q3 revenues may rise up to 20% YoY on higher volumes: Analysts,2023-01-31 00:00:00,1,britannia q revenues rise yoy higher volumes analysts
414,Ashish Kacholia to buy over 5% stake in this SME firm; stock soars 14%,2023-01-31 00:00:00,1,ashish kacholia buy stake sme firm stock soars 
415,"Beside Adani Green, Adani Transmission; 14 other stocks hit new 52-week low",2023-01-31 00:00:00,-1,adani green adani transmission stocks hit new week low
416,"Tech Mahindra dips 4% as management flags growth moderation, budget cuts",2023-01-31 00:00:00,-1,tech mahindra dips management flags growth moderation budget cuts
417,Larsen & Toubro falls 2% on profit booking post Q3 results,2023-01-31 00:00:00,-1,larsen toubro falls profit booking post results
418,Sensex rises 445 pts from day's low to end flat; Adani FPO fully subscribed,2023-01-31 00:00:00,1,sensex rises pts day low end flat adani fpo fully subscribed
419,"Stocks to Watch: Adani Group, LIC, L&T, Tech M, Inox, Leisure, GAIL, IOC",2023-01-31 00:00:00,1,stocks watch adani group lic t tech inox leisure gail ioc
420,"Bajaj Finserv, Mphasis: Is it time to buy these stocks at current levels?",2023-01-31 00:00:00,0,bajaj finserv mphasis time buy stocks current levels 
421,"Stock Exchanges BSE, NSE lower circuit limits on Adani group stocks",2023-01-30 00:00:00,-1,stock exchanges bse nse lower circuit limits adani group stocks
422,Construction & infra firms among biggest wealth destroyers in past 20 years,2023-01-30 00:00:00,-1,construction infra firms biggest wealth destroyers past years
423,Counting losses: Adani group stock rout hits Rs 5.6 trillion in 3 days,2023-01-30 00:00:00,-1,counting losses adani group stock rout hits rs trillion days
424,Bharat Electronics stock attractive after stake sale by Norges Bank,2023-01-30 00:00:00,1,bharat electronics stock attractive stake sale norges bank
425,Shares and bonds markets worldwide nervy as rate-hike week looms,2023-01-30 00:00:00,1,shares bonds markets worldwide nervy rate hike week looms
426,"Sensex ends in green first time in three days, after 945-point swing",2023-01-30 00:00:00,1,sensex ends green time days point swing
427,"Adani Enterprises FPO garners 3% on Day-2; IHC throws Rs 3,200-cr lifeline",2023-01-30 00:00:00,0,adani enterprises fpo garners day ihc throws rs cr lifeline
428,Indian Bank nears 52-week high in a weak market; stock up 19% in 3 months,2023-01-30 00:00:00,1,indian bank nears week high weak market stock months
429,"Heranba Industries tanks 20%, hits record low on weak Q3 results",2023-01-30 00:00:00,-1,heranba industries tanks hits record low weak results
430,Adani group's market rout hits $72 bn as fight with Hindenburg escalates,2023-01-30 00:00:00,0,adani group market rout hits bn fight hindenburg escalates
431,Sun Pharma nears 52-week high ahead of Q3 results; stock up 7% in a month,2023-01-30 00:00:00,1,sun pharma nears week high ahead results stock month
432,"Rail Vikas, Titagarh: Bullish trend in railway-related stocks may continue",2023-01-30 00:00:00,0,rail vikas titagarh bullish trend railway related stocks continue
433,"Adani rebuttal to Hindenburg fails to stem concern, bond plunge quickens",2023-01-30 00:00:00,0,adani rebuttal hindenburg fails stem concern bond plunge quickens
434,Bajaj Finance's long range strategy lifts stock 5% higher,2023-01-30 00:00:00,1,bajaj finance long range strategy lifts stock higher
435,"Data Patterns surges 13% on strong Q3 results, healthy order book position",2023-01-30 00:00:00,1,data patterns surges strong results healthy order book position
436,"Adani Enterprises zooms 10% post clarification, other group stocks mixed",2023-01-30 00:00:00,1,adani enterprises zooms post clarification group stocks mixed
437,"Sensex ends choppy day 170 pts up, Nifty at 17,650; IT stocks lead gains",2023-01-30 00:00:00,0,sensex ends choppy day pts nifty stocks lead gains
438,"Stocks to Watch: Adani Group, Bajaj Finance, Zomato, Tata Motors, L&T, NMDC",2023-01-30 00:00:00,1,stocks watch adani group bajaj finance zomato tata motors t nmdc
439,More glitter: Multi-asset allocation funds burnish gold's safe-haven appeal,2023-01-30 00:00:00,0,glitter multi asset allocation funds burnish gold safe haven appeal
440,Will Budget 2023-24 be populist or pragmatic? Brokerages weigh in,2023-01-30 00:00:00,0,budget populist pragmatic brokerages weigh 
441,"Street Signs: Mkt in steel price trap, Adani contagion fears hit LIC & more",2023-01-30 00:00:00,-1,street signs mkt steel price trap adani contagion fears hit lic 
442,"Paint biz goes off-colour, likely to see a fresh coat of downside in demand",2023-01-30 00:00:00,1,paint biz goes colour likely fresh coat downside demand
443,"Rebound in Adani group stocks key to Rs 20,000-crore FPO's success",2023-01-29 00:00:00,1,rebound adani group stocks key rs crore fpo success
444,"Securities fraud by the 'Madoffs of Manhattan', says Adani group",2023-01-29 00:00:00,-1,securities fraud madoffs manhattan says adani group
445,NSE world's largest derivatives exchange for fourth straight year in 2022,2023-01-29 00:00:00,1,nse world largest derivatives exchange fourth straight year 
446,"Seven of top-10 firms shed Rs 2.16 trillion in m-cap; RIL, SBI hit hard",2023-01-29 00:00:00,-1,seven firms shed rs trillion cap ril sbi hit hard
447,Sebi may probe short selling to hammer down Indian markets: Report,2023-01-29 00:00:00,-1,sebi probe short selling hammer indian markets report
448,"No change in schedule, issue price of FPO, confident of success: Adani Ent",2023-01-28 00:00:00,1,change schedule issue price fpo confident success adani ent
449,"Bankers consider delay, price cut in Adani's $2.5 bn FPO after market rout",2023-01-28 00:00:00,-1,bankers consider delay price cut adani bn fpo market rout
450,Hindenburg report on Adani group: Index provider MSCI invites feedback,2023-01-28 00:00:00,-1,hindenburg report adani group index provider msci invites feedback
451,"Budget blues: Nifty set for worst run, falls 2.8% in past 3 sessions",2023-01-27 00:00:00,-1,budget blues nifty set worst run falls past sessions
452,"As market capitalisation takes a beating, Adani group slips to No. 3",2023-01-27 00:00:00,-1,market capitalisation takes beating adani group slips 
453,"Adani stock rout roils markets; Sensex falls 874 pts, Nifty ends at 17,600",2023-01-27 00:00:00,-1,adani stock rout roils markets sensex falls pts nifty ends 
454,Sebi bans 24 entities from for three years in Sulabh Engineers matter,2023-01-27 00:00:00,-1,sebi bans entities years sulabh engineers matter
455,"Street positive on SBI Cards despite Q3 miss, on strong growth expectations",2023-01-27 00:00:00,1,street positive sbi cards despite miss strong growth expectations
456,"Carnage in Adani group stocks shaves off Rs 24,000 cr from LIC, MF wealth",2023-01-27 00:00:00,-1,carnage adani group stocks shaves rs cr lic mf wealth
457,PE/VC investments decline by a third to $54.2 billion in 2022: Report,2023-01-27 00:00:00,-1,pe vc investments decline billion report
458,Cloud over Adani Enterprises FPO as stock dips 11-15% below offer,2023-01-27 00:00:00,-1,cloud adani enterprises fpo stock dips offer
459,Bhilai steel plant hits 1 million tonnes plate production mark in FY23,2023-01-27 00:00:00,1,bhilai steel plant hits million tonnes plate production mark fy 
460,Stock markets achieve complete transition to T+1 settlement regime,2023-01-27 00:00:00,1,stock markets achieve complete transition settlement regime
461,"Reliance Industries hits 10-month low, stock slips 15% since December",2023-01-27 00:00:00,-1,reliance industries hits month low stock slips december
462,"Sell-off in Adani, bank stocks turn investors poorer by Rs 11 trn in 2 days",2023-01-27 00:00:00,-1,sell adani bank stocks turn investors poorer rs trn days
463,"F&O Check: Shorts rise at Adani counters; AEL may hit Rs 2,600 level",2023-01-27 00:00:00,-1,f check shorts rise adani counters ael hit rs level
464,"Adani Green, Adani Ports and 31 other BSE500 stocks hit 52-week lows",2023-01-27 00:00:00,-1,adani green adani ports bse stocks hit week lows
465,Dixon hits 52-week low before closing 19.19% down on poor Q3 show,2023-01-27 00:00:00,-1,dixon hits week low closing poor 
466,Flows to Indian equities are at risk as investors eye China: Chris Wood,2023-01-27 00:00:00,-1,flows indian equities risk investors eye china chris wood
467,"HAL, BDL, BEL: Higher defence budget may spark fresh rally in related stks",2023-01-27 00:00:00,1,hal bdl bel higher defence budget spark fresh rally related stks
468,"ITC gains nearly 3%, hits over two-month high in weak market",2023-01-27 00:00:00,1,itc gains nearly hits month high weak market
469,Adani Enterprises kicks off $2.45 bn share sale amid short-seller attack,2023-01-27 00:00:00,1,adani enterprises kicks bn share sale amid short seller attack
470,"Banks under pressure; Nifty Bank, PSU Bank indices crack up to 5% in 2 days",2023-01-27 00:00:00,1,banks pressure nifty bank psu bank indices crack days
471,Adani Group stocks sink up to 20%; CLSA sees limited risk to banks,2023-01-27 00:00:00,-1,adani group stocks sink clsa sees limited risk banks
472,"Tata Motors surges 6%, hits over 4-month high on strong Q3 performance",2023-01-27 00:00:00,1,tata motors surges hits month high strong performance
473,"Rout in Adani group shares, banks drag Sensex 874 pts, Nifty ends at 17,600",2023-01-27 00:00:00,-1,rout adani group shares banks drag sensex pts nifty ends 
474,"Stocks to Watch: Adani Group, Tata Motors, Dr.Reddy's, DLF, Airtel, IGL",2023-01-27 00:00:00,1,stocks watch adani group tata motors dr reddy dlf airtel igl
475,India to move to T+1 settlement from Friday: Here's what experts say,2023-01-26 00:00:00,0,india settlement friday experts 
476,"Pension funds trim India bets, assets down nearly Rs 60,000 cr in 2022",2023-01-26 00:00:00,-1,pension funds trim india bets assets nearly rs cr 
477,India sells first green bonds at 5-6 basis points below sovereign yields,2023-01-26 00:00:00,0,india sells green bonds basis points sovereign yields
478,"Sebi penalises PMIA, directors for Rs 28 lakh for violating market norms",2023-01-25 00:00:00,-1,sebi penalises pmia directors rs lakh violating market norms
479,"Private banks post 31.7% YoY growth in Q3, net profit rises to Rs 35,166 cr",2023-01-25 00:00:00,1,private banks post yoy growth net profit rises rs cr
480,Sebi study suggests 89% retail traders in equity F&O suffered losses,2023-01-25 00:00:00,-1,sebi study suggests retail traders equity o suffered losses
481,"Stocks slide in volatile trading in run-up to Budget, Fed Reserve meet",2023-01-25 00:00:00,-1,stocks slide volatile trading run budget fed reserve meet
482,Sebi to introduce more safeguards for F&O as traders' losses mount,2023-01-25 00:00:00,1,sebi introduce safeguards o traders losses mount
483,Domestic demand drives Bajaj Auto's small profit growth; net up by 3%,2023-01-25 00:00:00,1,domestic demand drives bajaj auto small profit growth net 
484,Sebi bans entities from market in unauthorised investment advisory case,2023-01-25 00:00:00,-1,sebi bans entities market unauthorised investment advisory case
485,Adani group firm shares tank by up to 9% following Hindenburg report,2023-01-25 00:00:00,0,adani group firm shares tank following hindenburg report
486,First ever sovereign green bond auction lapped up at lower-than-mkt yields,2023-01-25 00:00:00,-1,sovereign green bond auction lapped lower mkt yields
487,India's first-ever green bond auction gets better-than-expected yield,2023-01-25 00:00:00,1,india green bond auction gets better expected yield
488,Timing of Hindenburg report is curious; market reaction overdone: Analysts,2023-01-25 00:00:00,-1,timing hindenburg report curious market reaction overdone analysts
489,"Pidilite Industries dips 3%, hits six-month low on disappointing Q3 results",2023-01-25 00:00:00,-1,pidilite industries dips hits month low disappointing results
490,Stock of this iron & steel company has zoomed 54% in 1 month; hits new high,2023-01-25 00:00:00,1,stock iron steel company zoomed month hits new high
491,Healthy near-term growth outlook for Polycab India after record Q3 profit,2023-01-25 00:00:00,1,healthy near term growth outlook polycab india record profit
492,Chart: 15 stocks in Nifty 500 continue to rise despite volatile sentiment,2023-01-25 00:00:00,0,chart stocks nifty continue rise despite volatile sentiment
493,"Zomato plunges 15%, hits lowest level since July 2022 on heavy volumes",2023-01-25 00:00:00,-1,zomato plunges hits lowest level july heavy volumes
494,TVS Motor gains 3% in weak market on stable Q3 performance,2023-01-25 00:00:00,1,tvs motor gains weak market stable performance
495,"Indus Towers tanks 5%, hits over 2-year low on reporting net loss in Q3",2023-01-25 00:00:00,-1,indus towers tanks hits year low reporting net loss 
496,"Australian dollar jumps, kiwi slumps after unexpected inflation data",2023-01-25 00:00:00,-1,australian dollar jumps kiwi slumps unexpected inflation data
497,"Stocks to Watch: Maruti, TVS Motor, Coffee Day, Indus Towers, SBI Card, IOC",2023-01-25 00:00:00,1,stocks watch maruti tvs motor coffee day indus towers sbi card ioc
498,"Sensex slumps 774 pts, Nifty ends below 17900; Auto, FMCG stocks outshine",2023-01-25 00:00:00,0,sensex slumps pts nifty ends auto fmcg stocks outshine
499,Former Sebi-chief Damodaran launches midcap corporate governance index ATOM,2023-01-24 00:00:00,1,sebi chief damodaran launches midcap corporate governance index atom
500,Colocation case: Sebi likely to challenge SAT's relief to NSE in SC,2023-01-24 00:00:00,-1,colocation case sebi likely challenge sat relief nse sc
501,Colgate-Palmolive Q3 results: Net profit down 3.6% to Rs 243 crore,2023-01-24 00:00:00,1,colgate palmolive results net profit rs crore
502,'Run like a fiefdom': Sebi slaps Rs 26-crore penalty on Coffee Day,2023-01-24 00:00:00,-1, run like fiefdom sebi slaps rs crore penalty coffee day
503,"Lupin Digital launches Lyfe, a 24x7 monitoring ecosystem for heart patients",2023-01-24 00:00:00,1,lupin digital launches lyfe x monitoring ecosystem heart patients
504,PNB Housing Finance Q3 results: Net profit rises 43% at Rs 269 crore,2023-01-24 00:00:00,1,pnb housing finance results net profit rises rs crore
505,"Latest SAT relief colocation matter to free up Rs 1,000 cr for NSE",2023-01-24 00:00:00,1,latest sat relief colocation matter free rs cr nse
506,"India's Rs 8,000-cr green bond debuts today, analysts see strong demand",2023-01-24 00:00:00,1,india rs cr green bond debuts today analysts strong demand
507,Rupee sheds 33 paise on persistent dollar purchases by oil companies,2023-01-24 00:00:00,-1,rupee sheds paise persistent dollar purchases oil companies
508,SBI Card Q3 net up 32% YoY to Rs 509 cr on strong interest income,2023-01-24 00:00:00,1,sbi card net yoy rs cr strong interest income
509,"TVS Motor Q3 net up 28% to Rs 304 cr; EV sales surge 80% to 29,000 units",2023-01-24 00:00:00,1,tvs motor net rs cr ev sales surge units
510,"HDFC AMC's Q3 profit up 3% to Rs 369 cr, revenue rises 1.8% to Rs 560 cr",2023-01-24 00:00:00,1,hdfc amc q profit rs cr revenue rises rs cr
511,"PG Electroplast soars 8%, hits new high on strong business outlook",2023-01-24 00:00:00,1,pg electroplast soars hits new high strong business outlook
512,Tata Motors Q3 preview: What to expect from auto major's quarterly results?,2023-01-24 00:00:00,1,tata motors preview expect auto major quarterly results 
513,"IT stocks extend gain; Persistent Systems, Coforge rise up to 16% in a week",2023-01-24 00:00:00,1,stocks extend gain persistent systems coforge rise week
514,Weak volumes may contract Bajaj Auto's Q3 revenues up to 13% QoQ: Analysts,2023-01-24 00:00:00,1,weak volumes contract bajaj auto q revenues qoq analysts
515,Analysts raise Axis Bank's earnings forecast; to track deposit growth ahead,2023-01-24 00:00:00,1,analysts raise axis bank earnings forecast track deposit growth ahead
516,Tata Motors gains 4% on heavy volumes; stock surges 12% in one month,2023-01-24 00:00:00,1,tata motors gains heavy volumes stock surges month
517,"Metals eye up to 15% gain amid China reopening, likely capex push in Budget",2023-01-24 00:00:00,1,metals eye gain amid china reopening likely capex push budget
518,Gravita India surges 8% to hit record high after strong Q3 results,2023-01-24 00:00:00,1,gravita india surges hit record high strong results
519,"Profit-booking in Axis Bank after strong Q3 results, stock slumps 2%",2023-01-24 00:00:00,1,profit booking axis bank strong results stock slumps 
520,HDFC Bank rallies 7% in six days; stock inches towards all-time high,2023-01-24 00:00:00,1,hdfc bank rallies days stock inches time high
521,"Stocks to Watch: Axis Bank, Maruti, ConCor, HFCL, Zomato, BoB, Gold related",2023-01-24 00:00:00,1,stocks watch axis bank maruti concor hfcl zomato bob gold related
522,"Sensex, Nifty50 end flat in a wobbly trade; Tata Motors, Maruti surge 3%",2023-01-24 00:00:00,1,sensex nifty end flat wobbly trade tata motors maruti surge 
523,India bluechips to shift to world's fastest settlement cycle T+1 this week,2023-01-24 00:00:00,1,india bluechips shift world fastest settlement cycle week
524,"Bank of Baroda, CG Power may get added to MSCI global standard index",2023-01-23 00:00:00,1,bank baroda cg power added msci global standard index
525,"Sensex, Nifty advance on gains in IT, financial shares and global cues",2023-01-23 00:00:00,1,sensex nifty advance gains financial shares global cues
526,Foreign portfolio investor legroom gains for Kotak Mahindra Bank,2023-01-23 00:00:00,1,foreign portfolio investor legroom gains kotak mahindra bank
527,Wall Street rises as chipmakers lead tech shares higher; Nasdaq up 1%,2023-01-23 00:00:00,1,wall street rises chipmakers lead tech shares higher nasdaq 
528,Maruti Suzuki Q3 preview: Profit may decline up to 8% QoQ on lower volumes,2023-01-23 00:00:00,1,maruti suzuki preview profit decline qoq lower volumes
529,"Investment in capital mkts via P-notes drops to Rs 96,292 cr in Dec: Sebi",2023-01-23 00:00:00,1,investment capital mkts notes drops rs cr dec sebi
530,Persistent Systems hits 9-month high; rallies 15% in 3 days post Q3 results,2023-01-23 00:00:00,1,persistent systems hits month high rallies days post results
531,Lloyds Metals hits new high on robust Q3 results; stock up 67% in 2 months,2023-01-23 00:00:00,1,lloyds metals hits new high robust results stock months
532,"Kabra ExtrusionTechnik surges 15%, nears 52-week high on strong Q3 show",2023-01-23 00:00:00,1,kabra extrusiontechnik surges nears week high strong 
533,ICICI Bank best placed to face NIM shock; analysts see up to 44% upside,2023-01-23 00:00:00,1,icici bank best placed face nim shock analysts upside
534,Cement trades weak on profit-booking; UltraTech dips 3% post Q3 results,2023-01-23 00:00:00,-1,cement trades weak profit booking ultratech dips post results
535,YES Bank tanks 12% on heavy volumes as Q3 net plunges 81%,2023-01-23 00:00:00,1,yes bank tanks heavy volumes net plunges 
536,Reliance Industries gains 1% post December quarter earnings,2023-01-23 00:00:00,1,reliance industries gains post december quarter earnings
537,"Sensex rises 320 pts, Nifty ends atop 18100; IT index up 2%, YES Bk down 8%",2023-01-23 00:00:00,0,sensex rises pts nifty ends atop index yes bk 
538,"Stocks to watch: ICICI Bank, RIL, UltraTech, Adani Ent, SBI Life, Petronet",2023-01-23 00:00:00,1,stocks watch icici bank ril ultratech adani ent sbi life petronet
539,Absence of immediate drivers puts Reliance Industries stock in back seat,2023-01-23 00:00:00,-1,absence immediate drivers puts reliance industries stock seat
540,"Street Signs: Budget may provide breakout trigger, electronics stock & more",2023-01-23 00:00:00,1,street signs budget provide breakout trigger electronics stock 
541,"Mutual funds, FPIs show appetite for a slice of Adani FPO anchor pie",2023-01-23 00:00:00,-1,mutual funds fpis appetite slice adani fpo anchor pie
542,"FPIs pull out Rs 15,236 crore from equities in Jan as China reopens",2023-01-22 00:00:00,0,fpis pull rs crore equities jan china reopens
543,Markets regulator Sebi launches information database on municipal bonds,2023-01-22 00:00:00,0,markets regulator sebi launches information database municipal bonds
544,"Four of top-10 firms add Rs 82,481 cr in mcap; HDFC Bank, Adani Total shine",2023-01-22 00:00:00,1,firms add rs cr mcap hdfc bank adani total shine
545,"Over 70% of PMS plans, investment vehicle for the wealthy, lagged in 2022",2023-01-20 00:00:00,-1,pms plans investment vehicle wealthy lagged 
546,"Sensex, Nifty fall for 2nd day on global economic slowdown concerns",2023-01-20 00:00:00,-1,sensex nifty fall nd day global economic slowdown concerns
547,Layoff season continues: Wipro fires 452 freshers on performance grounds,2023-01-20 00:00:00,-1,layoff season continues wipro fires freshers performance grounds
548,Jio's Q3 profit rises 28% on higher revenue and lower finance cost,2023-01-20 00:00:00,1,jio q profit rises higher revenue lower finance cost
549,"Reliance Retail net profit increases 6.2% to Rs 2,400 crore in Dec quarter",2023-01-20 00:00:00,1,reliance retail net profit increases rs crore dec quarter
550,Market regulator Sebi intensifies drive against front-running violations,2023-01-20 00:00:00,1,market regulator sebi intensifies drive running violations
551,RBL Bank's Q3 results: Net profit jumps 34% YoY on firm NII growth,2023-01-20 00:00:00,1,rbl bank q results net profit jumps yoy firm nii growth
552,Sebi amends rules; intermediaries require prior nod for change in control,2023-01-20 00:00:00,0,sebi amends rules intermediaries require prior nod change control
553,"If you have only one exchange, you have a problem: BSE chief Ramamurthy",2023-01-20 00:00:00,0,exchange problem bse chief ramamurthy
554,"Union Bank Q3 net up 106.8 % at Rs 2,245 cr, considers QIP for equity",2023-01-20 00:00:00,1,union bank net rs cr considers qip equity
555,Sebi carries out nationwide raids on market experts for front-running,2023-01-20 00:00:00,-1,sebi carries nationwide raids market experts running
556,ICICI Bank Q3 Preview: Analysts expect robust loan book to drive PAT growth,2023-01-20 00:00:00,1,icici bank preview analysts expect robust loan book drive pat growth
557,"PVR dips 5%, hits over 10-month low post December quarter results",2023-01-20 00:00:00,-1,pvr dips hits month low post december quarter results
558,Coforge jumps 7% after Q3FY23 results beats Street estimate,2023-01-20 00:00:00,1,coforge jumps fy results beats street estimate
559,The stock of this iron & steel company has doubled in three months,2023-01-20 00:00:00,1,stock iron steel company doubled months
560,Adani Enterprises FPO: Short-term trend on the stock remains negative,2023-01-20 00:00:00,-1,adani enterprises fpo short term trend stock remains negative
561,"Gautam Adani's discount share sale tries to woo public, silence critics",2023-01-20 00:00:00,-1,gautam adani discount share sale tries woo public silence critics
562,"Moody's upgrades ratings for PNB, Canara Bank and Bank of Baroda to 'Baa3'",2023-01-20 00:00:00,1,moody upgrades ratings pnb canara bank bank baroda baa 
563,"Hindustan Unilever's royalty hike move hits investor mood, stock dips 4%",2023-01-20 00:00:00,-1,hindustan unilever royalty hike hits investor mood stock dips 
564,Hindustan Zinc to acquire Vedanta's international zinc biz; stock slides 9%,2023-01-20 00:00:00,1,hindustan zinc acquire vedanta international zinc biz stock slides 
