Symbol,Company Name
RUPA,Rupa & Company Limited
NDTV,New Delhi Television Limited
UNICHEMLAB,Unichem Laboratories Limited
TIIL,Technocraft Industries (India) Limited
PFOCUS,Prime Focus Limited
CONFIPET,Confidence Petroleum India Limited
GOKEX,Gokaldas Exports Limited
INSECTICID,Insecticides (India) Limited
MAXVIL,Max Ventures and Industries Limited
BAJAJHIND,Bajaj Hindusthan Sugar Limited
GUFICBIO,Gufic Biosciences Limited
SHARDAMOTR,Sharda Motor Industries Limited
CARTRADE,Cartrade Tech Limited
IOLCP,IOL Chemicals and Pharmaceuticals Limited
DBCORP,D.B.Corp Limited
SEQUENT,Sequent Scientific Limited
PURVA,Puravankara Limited
GENUSPOWER,Genus Power Infrastructures Limited
DCXINDIA,DCX Systems Limited
ACCELYA,Accelya Solutions India Limited
LGBBROSLTD,LG Balakrishnan & Bros Limited
NEULANDLAB,Neuland Laboratories Limited
BALMLAWRIE,Balmer Lawrie & Company Limited
DIAMONDYD,Prataap Snacks Limited
RTNPOWER,RattanIndia Power Limited
PILANIINVS,Pilani Investment and Industries Corporation Limited
KOLTEPATIL,Kolte - Patil Developers Limited
AGI,AGI Greenpac Limited
FINOPB,Fino Payments Bank Limited
PANAMAPET,Panama Petrochem Limited
SUNDARMHLD,Sundaram Finance Holdings Limited
COSMOFIRST,COSMO FIRST LIMITED
SOTL,Savita Oil Technologies Limited
AMRUTANJAN,Amrutanjan Health Care Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
NACLIND,NACL Industries Limited
TIRUMALCHM,Thirumalai Chemicals Limited
MSTCLTD,Mstc Limited
JKIL,J.Kumar Infraprojects Limited
ITDCEM,ITD Cementation India Limited
ATFL,Agro Tech Foods Limited
FILATEX,Filatex India Limited
WABAG,VA Tech Wabag Limited
APOLLOPIPE,Apollo Pipes Limited
TIMETECHNO,Time Technoplast Limited
JISLJALEQS,Jain Irrigation Systems Limited
SUNFLAG,Sunflag Iron And Steel Company Limited
GANECOS,Ganesha Ecosphere Limited
SOMANYCERA,Somany Ceramics Limited
HERANBA,Heranba Industries Limited
MMFL,MM Forgings Limited
DWARKESH,Dwarikesh Sugar Industries Limited
RAMKY,Ramky Infrastructure Limited
MUKANDLTD,Mukand Limited
SHK,S H Kelkar and Company Limited
HIL,HIL Limited
IIFLSEC,IIFL Securities Limited
SUBROS,Subros Limited
RILINFRA,Rachana Infrastructure Limited
CANTABIL,Cantabil Retail India Limited
MOREPENLAB,Morepen Laboratories Limited
WONDERLA,Wonderla Holidays Limited
INDOSTAR,IndoStar Capital Finance Limited
JAGRAN,Jagran Prakashan Limited
STYLAMIND,Stylam Industries Limited
SUBEXLTD,Subex Limited
DREAMFOLKS,Dreamfolks Services Limited
VSTTILLERS,V.S.T Tillers Tractors Limited
VINDHYATEL,Vindhya Telelinks Limited
SUPRIYA,Supriya Lifescience Limited
KIRLOSIND,Kirloskar Industries Limited
VADILALIND,Vadilal Industries Limited
TI,Tilaknagar Industries Limited
SWARAJENG,Swaraj Engines Limited
GATI,GATI Limited
KESORAMIND,Kesoram Industries Limited
TDPOWERSYS,TD Power Systems Limited
SIRCA,Sirca Paints India Limited
LANDMARK,Landmark Cars Limited
ALEMBICLTD,Alembic Limited
TEXRAIL,Texmaco Rail & Engineering Limited
HINDOILEXP,Hindustan Oil Exploration Company Limited
GOCLCORP,GOCL Corporation Limited
MAYURUNIQ,Mayur Uniquoters Ltd
ANDHRSUGAR,The Andhra Sugars Limited
VIDHIING,Vidhi Specialty Food Ingredients Limited
CARERATING,CARE Ratings Limited
VISHNU,Vishnu Chemicals Limited
GOKULAGRO,Gokul Agro Resources Limited
BEPL,Bhansali Engineering Polymers Limited
SPIC,Southern Petrochemicals Industries Corporation  Limited
GREENPLY,Greenply Industries Limited
SESHAPAPER,Seshasayee Paper and Boards Limited
SANGHIIND,Sanghi Industries Limited
FMGOETZE,Federal-Mogul Goetze (India) Limited.
ORISSAMINE,The Orissa Minerals Development Company Limited
TIDEWATER,Tide Water Oil Company (India) Limited
FAIRCHEMOR,Fairchem Organics Limited
ADFFOODS,ADF Foods Limited
GENESYS,Genesys International Corporation Limited
ANDHRAPAP,ANDHRA PAPER LIMITED
STOVEKRAFT,Stove Kraft Limited
HERITGFOOD,Heritage Foods Limited
DEN,Den Networks Limited
DHAMPURSUG,Dhampur Sugar Mills Limited
MTNL,Mahanagar Telephone Nigam Limited
BOMDYEING,Bombay Dyeing & Mfg Company Limited
DATAMATICS,Datamatics Global Services Limited
LUMAXTECH,Lumax Auto Technologies Limited
SALASAR,Salasar Techno Engineering Limited
SHALBY,Shalby Limited
AVTNPL,AVT Natural Products Limited
NELCO,NELCO Limited
TNPL,Tamil Nadu Newsprint & Papers Limited
HMT,HMT Limited
VALIANTORG,Valiant Organics Limited
ISMTLTD,ISMT Limited
LSIL,Lloyds Steels Industries Limited
IGPL,IG Petrochemicals Limited
LUMAXIND,Lumax Industries Limited
KPIGREEN,KPI Green Energy Limited
KSL,Kalyani Steels Limited
GTPL,GTPL Hathway Limited
KINGFA,Kingfa Science & Technology (India) Limited
KABRAEXTRU,Kabra Extrusion Technik Limited
INDORAMA,Indo Rama Synthetics (India) Limited
SOLARA,Solara Active Pharma Sciences Limited
DYNAMATECH,Dynamatic Technologies Limited
JSWISPL,JSW Ispat Special Products Limited
SPCENET,Spacenet Enterprises India Limited
SHANKARA,Shankara Building Products Limited
GRWRHITECH,Garware Hi-Tech Films Limited
IMAGICAA,Imagicaaworld Entertainment Limited
HESTERBIO,Hester Biosciences Limited
GTLINFRA,GTL Infrastructure Limited
VERANDA,Veranda Learning Solutions Limited
DCW,DCW Limited
HUHTAMAKI,Huhtamaki India Limited
THANGAMAYL,Thangamayil Jewellery Limited
SJS,S.J.S. Enterprises Limited
GALLANTT,Gallantt Ispat Limited
SUVEN,Suven Life Sciences Limited
DCAL,Dishman Carbogen Amcis Limited
ORCHPHARMA,Orchid Pharma Limited
WENDT,Wendt (India) Limited
NRBBEARING,NRB Bearing Limited
GOLDIAM,Goldiam International Limited
KCP,KCP Limited
ZENTEC,Zen Technologies Limited
ARVSMART,Arvind SmartSpaces Limited
TVTODAY,TV Today Network Limited
BFUTILITIE,BF Utilities Limited
SHAILY,Shaily Engineering Plastics Limited
VENUSPIPES,Venus Pipes & Tubes Limited
KRSNAA,Krsnaa Diagnostics Limited
GNA,GNA Axles Limited
REPCOHOME,Repco Home Finance Limited
CIGNITITEC,Cigniti Technologies Limited
EXCELINDUS,Excel Industries Limited
MONTECARLO,Monte Carlo Fashions Limited
BANCOINDIA,Banco Products (I) Limited
ALICON,Alicon Castalloy Limited
RIIL,Reliance Industrial Infrastructure Limited
IMFA,Indian Metals & Ferro Alloys Limited
TTKHLTCARE,TTK Healthcare Limited
MPSLTD,MPS Limited
OAL,Oriental Aromatics Limited
SANGHVIMOV,Sanghvi Movers Limited
MANALIPETC,Manali Petrochemicals Limited
RPGLIFE,RPG Life Sciences Limited
ASHIANA,Ashiana Housing Limited
INOXGREEN,Inox Green Energy Services Limited
RAMASTEEL,Rama Steel Tubes Limited
GMRP&UI,GMR Power and Urban Infra Limited
TCPLPACK,TCPL Packaging Limited
RAMCOIND,Ramco Industries Limited
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
WHEELS,Wheels India Limited
BBL,Bharat Bijlee Limited
SEPC,SEPC Limited
INEOSSTYRO,INEOS Styrolution India Limited
SASKEN,Sasken Technologies Limited
APTECHT,Aptech Limited
SANDHAR,Sandhar Technologies Limited
BHAGCHEM,Bhagiradha Chemicals & Industries Limited
OMAXE,Omaxe Limited
DBOL,Dhampur Bio Organics Limited
KDDL,KDDL Limited
RPSGVENT,RPSG VENTURES LIMITED
SATIA,Satia Industries Limited
GULPOLY,Gulshan Polyols Limited
ORIENTHOT,Oriental Hotels Limited
MATRIMONY,Matrimony.Com Limited
SKIPPER,Skipper Limited
SAKSOFT,Saksoft Limited
SURYODAY,Suryoday Small Finance Bank Limited
TAJGVK,Taj GVK Hotels & Resorts Limited
RANEHOLDIN,Rane Holdings Limited
EIHAHOTELS,EIH Associated Hotels Limited
KITEX,Kitex Garments Limited
INFOBEAN,InfoBeans Technologies Limited
DPSCLTD,DPSC Limited
KUANTUM,Kuantum Papers Limited
KRISHANA,Krishana Phoschem Limited
SHRIRAMPPS,Shriram Properties Limited
IGARASHI,Igarashi Motors India Limited
CARYSIL,CARYSIL LIMITED
MADRASFERT,Madras Fertilizers Limited
PRECWIRE,Precision Wires India Limited
GIPCL,Gujarat Industries Power Company Limited
THEMISMED,Themis Medicare Limited
TARC,TARC Limited
VSSL,Vardhman Special Steels Limited
SATIN,Satin Creditcare Network Limited
FOSECOIND,Foseco India Limited
EVERESTIND,Everest Industries Limited
EXPLEOSOL,Expleo Solutions Limited
BAJAJHCARE,Bajaj Healthcare Limited
ARMANFIN,Arman Financial Services Limited
MANORAMA,Manorama Industries Limited
STEELXIND,STEEL EXCHANGE INDIA LIMITED
THEJO,Thejo Engineering Limited
PARAGMILK,Parag Milk Foods Limited
XPROINDIA,Xpro India Limited
POKARNA,Pokarna Limited
PIXTRANS,Pix Transmissions Limited
ROSSELLIND,Rossell India Limited
NSIL,Nalwa Sons Investments Limited
UGARSUGAR,The Ugar Sugar Works Limited
ADORWELD,Ador Welding Limited
PNBGILTS,PNB Gilts Limited
GICHSGFIN,GIC Housing Finance Limited
GMBREW,GM Breweries Limited
NITINSPIN,Nitin Spinners Limited
AXISCADES,AXISCADES Technologies Limited
EKC,Everest Kanto Cylinder Limited
GEOJITFSL,Geojit Financial Services Limited
ELIN,Elin Electronics Limited
RICOAUTO,Rico Auto Industries Limited
SHIVALIK,Shivalik Rasayan Limited
BFINVEST,BF Investment Limited
AJMERA,Ajmera Realty & Infra India Limited
UTTAMSUGAR,Uttam Sugar Mills Limited
AVADHSUGAR,Avadh Sugar & Energy Limited
SANGAMIND,Sangam (India) Limited
CHEMCON,Chemcon Speciality Chemicals Limited
ESTER,Ester Industries Limited
DREDGECORP,Dredging Corporation of India Limited
SPECIALITY,Speciality Restaurants Limited
MONARCH,Monarch Networth Capital Limited
UGROCAP,Ugro Capital Limited
MARATHON,Marathon Nextgen Realty Limited
CENTRUM,Centrum Capital Limited
MEDICAMEQ,Medicamen Biotech Limited
IWEL,Inox Wind Energy Limited
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
CAPACITE,Capacit'e Infraprojects Limited
PITTIENG,Pitti Engineering Limited
SHREDIGCEM,Shree Digvijay Cement Co.Ltd
PFS,PTC India Financial Services Limited
NUCLEUS,Nucleus Software Exports Limited
BIGBLOC,Bigbloc Construction Limited
ARTEMISMED,Artemis Medicare Services Limited
SUTLEJTEX,Sutlej Textiles and Industries Limited
NAHARSPING,Nahar Spinning Mills Limited
COFFEEDAY,Coffee Day Enterprises Limited
HITECH,Hi-Tech Pipes Limited
GOODLUCK,Goodluck India Limited
CLOUD,Varanium Cloud Limited
JASH,Jash Engineering Limited
BODALCHEM,Bodal Chemicals Limited
SMLISUZU,SML Isuzu Limited
AXITA,Axita Cotton Limited
PRAKASH,Prakash Industries Limited
PATELENG,Patel Engineering Limited
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
STERTOOLS,Sterling Tools Limited
VIMTALABS,Vimta Labs Limited
KAMDHENU,Kamdhenu Limited
ONMOBILE,OnMobile Global Limited
AHL,Abans Holdings Limited
UNIVCABLES,Universal Cables Limited
NAVKARCORP,Navkar Corporation Limited
NGLFINE,NGL Fine-Chem Limited
SHALPAINTS,Shalimar Paints Limited
IFGLEXPOR,IFGL Refractories Limited
5PAISA,5Paisa Capital Limited
PRECAM,Precision Camshafts Limited
SPORTKING,Sportking India Limited
GEPIL,GE Power India Limited
MKPL,M K Proteins Limited
SANDESH,The Sandesh Limited
VHL,Vardhman Holdings Limited
ZEEMEDIA,Zee Media Corporation Limited
QUICKHEAL,Quick Heal Technologies Limited
RGL,Renaissance Global Limited
CENTUM,Centum Electronics Limited
STEELCAS,Steelcast Limited
ARIHANTSUP,Arihant Superstructures Limited
UNIENTER,Uniphos Enterprises Limited
HARIOMPIPE,Hariom Pipe Industries Limited
CENTENKA,Century Enka Limited
VINYLINDIA,Vinyl Chemicals (India) Limited
IMPAL,India Motor Parts and Accessories Limited
INDNIPPON,India Nippon Electricals Limited
DEEPINDS,Deep Industries Limited
AGARIND,Agarwal Industrial Corporation Limited
GANESHBE,Ganesh Benzoplast Limited
SASTASUNDR,Sastasundar Ventures Limited
LIKHITHA,Likhitha Infrastructure Limited
PGIL,Pearl Global Industries Limited
RUSHIL,Rushil Decor Limited
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
HEXATRADEX,Hexa Tradex Limited
ORIENTPPR,Orient Paper & Industries Limited
ASHAPURMIN,Ashapura Minechem Limited
PANACEABIO,Panacea Biotec Limited
RSWM,RSWM Limited
AWHCL,Antony Waste Handling Cell Limited
RADIOCITY,Music Broadcast Limited
NELCAST,Nelcast Limited
EMAMIPAP,Emami Paper Mills Limited
AMBIKCO,Ambika Cotton Mills Limited
ANUP,The Anup Engineering Limited
KOKUYOCMLN,Kokuyo Camlin Limited
JINDRILL,Jindal Drilling And Industries Limited
SDBL,Som Distilleries & Breweries Limited
SPAL,S. P. Apparels Limited
CLNINDIA,Clariant Chemicals (India) Limited
DVL,Dhunseri Ventures Limited
SIGACHI,Sigachi Industries Limited
SYNCOMF,Syncom Formulations (India) Limited
KICL,Kalyani Investment Company Limited
MANGLMCEM,Mangalam Cement Limited
TNPETRO,Tamilnadu PetroProducts Limited
JYOTISTRUC,Jyoti Structures Limited
HIMATSEIDE,Himatsingka Seide Limited
GREENPOWER,Orient Green Power Company Limited
JETAIRWAYS,Jet Airways (India) Limited
SMCGLOBAL,SMC Global Securities Limited
TRACXN,Tracxn Technologies Limited
NCLIND,NCL Industries Limited
JAIBALAJI,Jai Balaji Industries Limited
APCL,Anjani Portland Cement Limited
DLINKINDIA,D-Link (India) Limited
AURIONPRO,Aurionpro Solutions Limited
RAMCOSYS,Ramco Systems Limited
HLVLTD,HLV LIMITED
ALLSEC,Allsec Technologies Limited
OCCL,Oriental Carbon & Chemicals Limited
AGSTRA,AGS Transact Technologies Limited
63MOONS,63 moons technologies limited
ASALCBR,Associated Alcohols & Breweries Ltd.
BCLIND,Bcl Industries Limited
APEX,Apex Frozen Foods Limited
ORIENTBELL,Orient Bell Limited
TEXINFRA,Texmaco Infrastructure & Holdings Limited
ZOTA,Zota Health Care LImited
PENIND,Pennar Industries Limited
SATINDLTD,Sat Industries Limited
INDRAMEDCO,Indraprastha Medical Corporation Limited
KHAICHEM,Khaitan Chemicals & Fertilizers Limited
BLISSGVS,Bliss GVS Pharma Limited
INDIANHUME,Indian Hume Pipe Company Limited
SHAKTIPUMP,Shakti Pumps (India) Limited
XCHANGING,Xchanging Solutions Limited
VISAKAIND,Visaka Industries Limited
TFCILTD,Tourism Finance Corporation of India Limited
TRIL,Transformers And Rectifiers (India) Limited
RAMRAT,Ram Ratna Wires Limited
ENIL,Entertainment Network (India) Limited
VASCONEQ,Vascon Engineers Limited
BLKASHYAP,B. L. Kashyap and Sons Limited
ROTO,Roto Pumps Limited
KOPRAN,Kopran Limited
GFLLIMITED,GFL Limited
RAJMET,Rajnandini Metal Limited
ROHLTD,Royal Orchid Hotels Limited
LINCOLN,Lincoln Pharmaceuticals Limited
BHAGERIA,Bhageria Industries Limited
CREATIVE,Creative Newtech Limited
JAYBARMARU,Jay Bharat Maruti Limited
TALBROAUTO,Talbros Automotive Components Limited
SMSPHARMA,SMS Pharmaceuticals Limited
CHEVIOT,Cheviot Company Limited
KANORICHEM,Kanoria Chemicals & Industries Limited
DECCANCE,Deccan Cements Limited
FAZE3Q,Faze Three Limited
ZUARI,Zuari Agro Chemicals Limited
3IINFOLTD,3i Infotech Limited
HPAL,HP Adhesives Limited
BETA,Beta Drugs Limited
BINDALAGRO,Oswal Chemicals & Fertilizers Limited
SUMMITSEC,Summit Securities Limited
HERCULES,Hercules Hoists Limited
CLSEL,Chaman Lal Setia Exports Limited
PARACABLES,Paramount Communications Limited
DMCC,DMCC SPECIALITY CHEMICALS LIMITED
ONWARDTEC,Onward Technologies Limited
DHARMAJ,Dharmaj Crop Guard Limited
BHARATWIRE,Bharat Wire Ropes Limited
ARIHANTCAP,Arihant Capital Markets Limited
RML,Rane (Madras) Limited
SCPL,Sheetal Cool Products Limited
RUBYMILLS,The Ruby Mills Limited
GANDHITUBE,Gandhi Special Tubes Limited
CONTROLPR,Control Print Limited
NRL,Nupur Recyclers Limited
SUKHJITS,Sukhjit Starch & Chemicals Limited
SHREYAS,Shreyas Shipping & Logistics Limited
NAHARPOLY,Nahar Poly Films Limited
ASIANTILES,Asian Granito India Limited
HPL,HPL Electric & Power Limited
DPABHUSHAN,D. P. Abhushan Limited
VIKASLIFE,Vikas Lifecare Limited
INDOAMIN,Indo Amines Limited
DCMSRIND,DCM Shriram Industries Limited
SNOWMAN,Snowman Logistics Limited
YUKEN,Yuken India Limited
DIGISPICE,DiGiSPICE Technologies Limited
ATULAUTO,Atul Auto Limited
REFEX,Refex Industries Limited
LINC,Linc Limited
SCHAND,S Chand And Company Limited
BALAXI,BALAXI PHARMACEUTICALS LIMITED
APOLLO,Apollo Micro Systems Limited
JUBLINDS,Jubilant Industries Limited
FOODSIN,Foods & Inns Limited
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
SPENCERS,Spencer's Retail Limited
ASAL,Automotive Stampings and Assemblies Limited
ELDEHSG,Eldeco Housing And Industries Limited
KELLTONTEC,Kellton Tech Solutions Limited
RBL,Rane Brake Lining Limited
CREST,Crest Ventures Limited
DPWIRES,D P Wires Limited
UNIVPHOTO,Universus Photo Imagings Limited
JAYAGROGN,Jayant Agro Organics Limited
NECLIFE,Nectar Lifesciences Limited
WINDLAS,Windlas Biotech Limited
HCL-INSYS,HCL Infosystems Limited
STCINDIA,The State Trading Corporation of India Limited
MENONBE,Menon Bearings Limited
OSWALAGRO,Oswal Agro Mills Limited
MEDICO,Medico Remedies Limited
TVSELECT,TVS Electronics Limited
NAHARCAP,Nahar Capital and Financial Services Limited
UNIDT,United Drilling Tools Limited
VLSFINANCE,VLS Finance Limited
EXXARO,Exxaro Tiles Limited
HARDWYN,Hardwyn India Limited
TBZ,Tribhovandas Bhimji Zaveri Limited
URJA,Urja Global Limited
HTMEDIA,HT Media Limited
SWELECTES,Swelect Energy Systems Limited
IFBAGRO,IFB Agro Industries Limited
KSOLVES,Ksolves India Limited
DHANBANK,Dhanlaxmi Bank Limited
NRAIL,N R Agarwal Industries Limited
ADSL,Allied Digital Services Limited
NURECA,Nureca Limited
CSLFINANCE,CSL Finance Limited
RAMAPHO,Rama Phosphates Limited
HITECHGEAR,The Hi-Tech Gears Limited
REPRO,Repro India Limited
SREEL,Sreeleathers Limited
MANAKSIA,Manaksia Limited
BBTCL,B&B Triplewall Containers Limited
MUNJALAU,Munjal Auto Industries Limited
AARTISURF,Aarti Surfactants Limited
GOACARBON,Goa Carbon Limited
GENUSPAPER,Genus Paper & Boards Limited
PROZONINTU,Prozone Intu Properties Limited
INNOVANA,Innovana Thinklabs Limited
KRISHIVAL,Empyrean Cashews Limited
ZIMLAB,Zim Laboratories Limited
GVKPIL,GVK Power & Infrastructure Limited
JPOLYINVST,Jindal Poly Investment and Finance Company Limited
UNITECH,Unitech Limited
FCSSOFT,FCS Software Solutions Limited
SHYAMCENT,Shyam Century Ferrous Limited
EQUIPPP,Equippp Social Impact Technologies Limited
MANINDS,Man Industries (India) Limited
PLASTIBLEN,Plastiblends India Limited
LIBERTSHOE,Liberty Shoes Limited
CONSOFINVT,Consolidated Finvest & Holdings Limited
MAGADSUGAR,Magadh Sugar & Energy Limited
SHEMAROO,Shemaroo Entertainment Limited
BALAJITELE,Balaji Telefilms Limited
PDMJEPAPER,Pudumjee Paper Products Limited
THEINVEST,The Investment Trust Of India Limited
PREMEXPLN,Premier Explosives Limited
DONEAR,Donear Industries Limited
HINDCOMPOS,Hindustan Composites Limited
DSSL,Dynacons Systems & Solutions Limited
MAXIND,Max India Limited
GSS,GSS Infotech Limited
MUTHOOTCAP,Muthoot Capital Services Limited
VARDHACRLC,Vardhman Acrylics Limited
ZUARIIND,ZUARI INDUSTRIES LIMITED
NAHARINDUS,Nahar Industrial Enterprises Limited
MANORG,Mangalam Organics Limited
MIRCELECTR,MIRC Electronics Limited
SILVERTUC,Silver Touch Technologies Limited
INDOBORAX,Indo Borax & Chemicals Limited
ORBTEXP,Orbit Exports Limited
DELPHIFX,DELPHI WORLD MONEY LIMITED
KOTHARIPRO,Kothari Products Limited
MALLCOM,Mallcom (India) Limited
KECL,Kirloskar Electric Company Limited
KHADIM,Khadim India Limited
PTL,PTL Enterprises Limited
DEEPENR,DEEP ENERGY RESOURCES LIMITED
GLOBAL,Global Education Limited
NXTDIGITAL,NXTDIGITAL LIMITED
BGRENERGY,BGR Energy Systems Limited
KRITI,Kriti Industries (India) Limited
KAYA,Kaya Limited
PONNIERODE,Ponni Sugars (Erode) Limited
ORICONENT,Oricon Enterprises Limited
SAKAR,Sakar Healthcare Limited
DYCL,Dynamic Cables Limited
PARSVNATH,Parsvnath Developers Limited
IRISDOREME,Iris Clothings Limited
BIRLACABLE,Birla Cable Limited
INDSWFTLAB,Ind-Swift Laboratories Limited
RANASUG,Rana Sugars Limited
SECL,Salasar Exteriors and Contour Limited
MGEL,Mangalam Global Enterprise Limited
DHUNINV,Dhunseri Investments Limited
HMVL,Hindustan Media Ventures Limited
WEALTH,Wealth First Portfolio Managers Limited
BANSWRAS,Banswara Syntex Limited
KOTHARIPET,Kothari Petrochemicals Limited
MUNJALSHOW,Munjal Showa Limited
VIPCLOTHNG,VIP Clothing Limited
SAKUMA,Sakuma Exports Limited
CLEDUCATE,CL Educate Limited
MOLDTECH,Mold-Tek Technologies Limited
CHEMFAB,Chemfab Alkalis Limited
ICEMAKE,Ice Make Refrigeration Limited
NBIFIN,N. B. I. Industrial Finance Company Limited
MARINE,Marine Electricals (India) Limited
EIFFL,Euro India Fresh Foods Limited
RITCO,Ritco Logistics Limited
SALZERELEC,Salzer Electronics Limited
OMINFRAL,OM INFRA LIMITED
PPL,Prakash Pipes Limited
MAWANASUG,Mawana Sugars Limited
GOKUL,Gokul Refoils and Solvent Limited
HITECHCORP,Hitech Corporation Limited
KERNEX,Kernex Microsystems (India) Limited
AYMSYNTEX,AYM Syntex Limited
4THDIM,Fourth Dimension Solutions Limited
ADVANIHOTR,Advani Hotels & Resorts (India) Limited
MSPL,MSP Steel & Power Limited
FROG,Frog Cellsat Limited
CYBERTECH,Cybertech Systems And Software Limited
RUCHIRA,Ruchira Papers Limited
INTLCONV,International Conveyors Limited
KOTARISUG,Kothari Sugars And Chemicals Limited
LYKALABS,Lyka Labs Limited
NDL,Nandan Denim Limited
SKP,SKP Bearing Industries Limited
KCPSUGIND,KCP Sugar and Industries Corporation Limited
HIRECT,Hind Rectifiers Limited
SILINV,SIL Investments Limited
SARLAPOLY,Sarla Performance Fibers Limited
SELAN,Selan Exploration Technology Limited
CUPID,Cupid Limited
PENINLAND,Peninsula Land Limited
COOLCAPS,Cool Caps Industries Limited
SVPGLOB,SVP GLOBAL TEXTILES LIMITED
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited
KNAGRI,KN Agri Resources Limited
HINDMOTORS,Hindustan Motors Limited
DYNPRO,Dynemic Products Limited
LOYALTEX,Loyal Textile Mills Limited
RADHIKAJWE,Radhika Jeweltech Limited
JINDALPHOT,Jindal Photo Limited
AURUM,Aurum PropTech Limited
V2RETAIL,V2 Retail Limited
DICIND,DIC India Limited
UFO,UFO Moviez India Limited
SHIVAMAUTO,Shivam Autotech Limited
MINDTECK,Mindteck (India) Limited
NDRAUTO,Ndr Auto Components Limited
TAKE,Take Solutions Limited
SKMEGGPROD,SKM Egg Products Export (India) Limited
VISHWARAJ,Vishwaraj Sugar Industries Limited
FOCE,Foce India Limited
WEBELSOLAR,Websol Energy System Limited
DENORA,De Nora India Limited
ORIENTABRA,Orient Abrasives Limited
HUBTOWN,Hubtown Limited
CINELINE,Cineline India Limited
PPAP,PPAP Automotive Limited
SERVOTECH,Servotech Power Systems Limited
MACPOWER,Macpower CNC Machines Limited
BIRLAMONEY,Aditya Birla Money Limited
BASML,Bannari Amman Spinning Mills Limited
REVATHI,Revathi Equipment Limited
GSCLCEMENT,Gujarat Sidhee Cement Limited
INDOTHAI,Indo Thai Securities Limited
DUCON,Ducon Infratechnologies Limited
SOUTHWEST,South West Pinnacle Exploration Limited
BRNL,Bharat Road Network Limited
DUGLOBAL,DUDIGITAL GLOBAL LIMITED
SIMPLEXINF,Simplex Infrastructures Limited
GKWLIMITED,GKW Limited
FOCUS,Focus Lighting and Fixtures Limited
WEL,Wonder Fibromats Limited
ASHIMASYN,Ashima Limited
VIKASECO,Vikas EcoTech Limited
CHEMBOND,Chembond Chemicals Ltd
APOLSINHOT,Apollo Sindoori Hotels Limited
JSLL,Jeena Sikho Lifecare Limited
SBC,SBC Exports Limited
ALBERTDAVD,Albert David Limited
20MICRONS,20 Microns Limited
KOTYARK,Kotyark Industries Limited
MMP,MMP Industries Limited
QMSMEDI,QMS Medical Allied Services Limited
PRIMESECU,Prime Securities Limited
MEP,MEP Infrastructure Developers Limited
EMKAYTOOLS,Emkay Taps and Cutting Tools Limited
GPTINFRA,GPT Infraprojects Limited
ESSENTIA,Integra Essentia Limited
GEECEE,GeeCee Ventures Limited
SAKHTISUG,Sakthi Sugars Limited
WALCHANNAG,Walchandnagar Industries Limited
BPL,BPL Limited
MCLEODRUSS,Mcleod Russel India Limited
ASAHISONG,Asahi Songwon Colors Limited
BCONCEPTS,Brand Concepts Limited
JITFINFRA,JITF Infralogistics Limited
NATHBIOGEN,Nath Bio-Genes (India) Limited
VITAL,Vital Chemtech Limited
AUTOIND,Autoline Industries Limited
IEL,Indiabulls Enterprises Limited
DCMNVL,DCM Nouvelle Limited
EMAMIREAL,Emami Realty Limited
PASUPTAC,Pasupati Acrylon Limited
NIPPOBATRY,Indo-National Limited
FCONSUMER,Future Consumer Limited
ONEPOINT,One Point One Solutions Limited
STEL,Stel Holdings Limited
MAHEPC,Mahindra EPC Irrigation Limited
STARPAPER,Star Paper Mills Limited
WINDMACHIN,Windsor Machines Limited
TRIGYN,Trigyn Technologies Limited
KMSUGAR,K.M.Sugar Mills Limited
DANGEE,Dangee Dums Limited
VERTOZ,Vertoz Advertising Limited
RAJTV,Raj Television Network Limited
PODDARMENT,Poddar Pigments Limited
LGBFORGE,LGB Forge Limited
DEVIT,Dev Information Technology Limited
ABAN,Aban Offshore Limited
INDTERRAIN,Indian Terrain Fashions Limited
EUROBOND,Euro Panel Products Limited
GINNIFILA,Ginni Filaments Limited
MHLXMIRU,Mahalaxmi Rubtech Limited
UCALFUEL,Ucal Fuel Systems Limited
EROSMEDIA,Eros International Media Limited
OSIAHYPER,Osia Hyper Retail Limited
SINTERCOM,Sintercom India Limited
ASIANENE,Asian Energy Services Limited
E2E,E2E Networks Limited
COASTCORP,Coastal Corporation Limited
BMETRICS,Bombay Metrics Supply Chain Limited
GRPLTD,GRP Limited
GOYALALUM,Goyal Aluminiums Limited
MAZDA,Mazda Limited
JAYSREETEA,Jayshree Tea & Industries Limited
ARROWGREEN,Arrow Greentech Limited
SADBHAV,Sadbhav Engineering Limited
BROOKS,Brooks Laboratories Limited
PAVNAIND,Pavna Industries Limited
ARIES,Aries Agro Limited
NILAINFRA,Nila Infrastructures Limited
SOLEX,Solex Energy Limited
SHIVAUM,Shiv Aum Steels Limited
MWL,Mangalam Worldwide Limited
MARALOVER,Maral Overseas Limited
AARVI,Aarvi Encon Limited
